タイトル,発売日,カテゴリ,リンク種別,URL
"SONIC THE HEDGEHOG VOCAL TRAXX SEVERAL WILLS","2007.01.10","sonic","外部","http://www.amazon.co.jp/dp/B000KF0TRO/"
"SONIC RIDERS ORIGINAL SOUNDTRACK","2006.03.16","sonic","外部","http://ebten.jp/sega/p/4571164389073/"
"SHADOW THE HEDGEHOG ORIGINAL SOUNDTRAX","2006.02.22","sonic","外部","http://ebten.jp/sega/p/4571164389035/"
"LOST AND FOUND SHADOW THE HEDGEHOG VOVAL TARCKS","2006.02.22","sonic","外部","https://www.amazon.co.jp/dp/B000CQM0UU"
"ソニックヒーローズ COMPLETE TRINITY","2004.03.03","sonic","なし",""
"ソニックエックス オリジナル・サウンド・トラックス","2004.03.03","sonic","なし",""
"ソニックヒーローズ TRIPLE THREAD","2004.02.04","sonic","なし",""
"GO SEGA - 60th ANNIVERSARY Album -","2021.03.24","sakura","内部","https://music.sega.co.jp/release/consumer/gosega.html"
"新サクラ大戦 the Animation オリジナルサウンドトラック","2020.11.11","sakura","なし",""
"新サクラ大戦 オリジナルサウンドトラック","2020.06.24","sakura","なし",""
"新サクラ大戦 歌謡全集","2020.04.29","sakura","なし",""
"パチスロ『サクラ大戦 〜熱き血潮に〜』Original Soundtrack","2018.04.04","sakura","外部","https://sakura-taisen.com/archives/goods/wavemaster35/"
"サクラ大戦 紐育星組ショウ2014 〜お楽しみはこれからだ〜","2014.12.24","sakura","外部","https://sakura-taisen.com/archives/goods/wavemaster34/"
"サクラ大戦 巴里花組ショウ2014 〜ケセラセラ・パリ〜","2014.05.28","sakura","外部","https://sakura-taisen.com/archives/goods/wavemaster33/"
"サクラ大戦 紐育星組ショウ2013 〜ワイルド・ウエスト・希望〜","2013.11.27","sakura","外部","https://sakura-taisen.com/archives/goods/wavemaster32/"
"サクラ大戦 巴里花組ライブ2012 〜レビュウ・モン・パリ〜","2013.03.27","sakura","外部","https://sakura-taisen.com/archives/goods/wavemaster31/"
